,C3 Feed Rate,H2C3 Ratio,Reactor Pressure,Reactor Bed Level,C2 Flow Rate,Catalyst Feed Rate,Temperature,Melt Flow Rate (gm/10min)
0,0.6260387734344433,0.15612244579341947,0.605533915224683,0.5484678627676622,0.4275219630719651,0.2162684678902534,0.19117820997423873,1.2237754316221157
1,0.6747354690122376,0.15612244579341947,0.6251369590858085,0.4270203806138255,0.33815347957366837,0.16403597840608128,0.0797607520033976,1.1631508098056809
2,0.6856111068066242,0.15612244579341947,0.5952938448893397,0.46048006862285895,0.3703527095859197,0.1949338377166644,0.07663083287225714,1.1631508098056809
3,0.6433642734125156,0.15612244579341947,0.6892409690802426,0.4961884762938471,0.34693613950294466,0.19728261578438083,0.09145038031925345,1.1314021114911006
4,0.6258496860312055,0.15306123157017892,0.6519397387005705,0.4426361176366598,0.3192299207760023,0.15312259337619913,0.09259209497142251,1.1939224684724346
5,0.6622554857704039,0.15306123157017892,0.6097421991805847,0.4012051091135209,0.2377913466582676,0.18051972322633694,0.0942564647609414,1.1631508098056809
6,0.6822965326893347,0.15306123157017892,0.6063230230230934,0.43090189350700037,0.34155466454767847,0.2206601218977346,0.1307588849743686,1.2237754316221157
7,0.7800513576554249,0.15306123157017892,0.6211849605830189,0.46149121541268734,0.375977946031144,0.21095591453795717,0.1180811661119856,1.2809338454620642
8,0.801381175093433,0.15306123157017892,0.5688047879988574,0.47006281327176325,0.41382004616619117,0.2086727187294982,0.05444073256607229,1.33500106673234
9,0.7524572598437951,0.15306123157017892,0.5682895983720639,0.4315144742711219,0.3482806426261955,0.18216313748773094,0.050775917621554534,1.33500106673234
10,0.7223503671536506,0.15306123157017892,0.5507228716261281,0.4135865578454432,0.39786418036056326,0.18919146363503672,0.1060616189836816,1.3609765531356006
11,0.7873425622008488,0.15306123157017892,0.6398625485947251,0.439668619276846,0.4538771580506169,0.19651559916502515,0.10000849604318418,1.3609765531356006
12,0.7852946519028252,0.14999999693877555,0.6362003551683424,0.46276828873577713,0.471395185235988,0.18712425775970556,0.18538090991970702,1.4350845252893227
13,0.9174944337976956,0.14999999693877555,0.6172464048458206,0.4854686366958969,0.46608835018578687,0.23107109589290953,0.09790309976650757,1.410986973710262
14,0.8080656973916169,0.18367347584339844,0.5806145194438255,0.41086523579340906,0.422440685668209,0.24727761424128408,0.08070791957977264,1.4586150226995167
